id,source
Invoices-Amount,Amount
Invoices-DueDate,Due Date
Invoices-Generate-Invoice,Generate Invoice
Invoices-No-Payments,No Payments
Invoices-NoPayments-Description,Your payments will appear here.
Invoices-NoPayments-ReceivedInvoices-Description,You have not received any invoices from the school.
Invoices-Open,Open Invoices
Invoices-Pay-Now,Pay Now
Invoices-PayOn,Paid On
Invoices-Received,Received Invoices
Invoices-Title,Invoices & Fees
Invoices-Total-Outstanding,Total Outstanding
Invoices-Type,Type
Invoices-via,via
Language-Arabic-Error,This language is not yet supported for the App version, and will temporarily display in English.
Login-CodeSent,Code has been sent (%@ sec)
Login-EnterPhoneNumber,Please enter the phone number
Login-EnterVerificationCode,Please enter the verification code
Login-Failed-Description,Please verify your email address and try again.
Login-Failed-Description-Netwrok,Your internet connection is unstable. Please check your network connection and try again.
Login-Failed-Title,Login
Login-Or,Or
Login-Region-China,China
Login-Region-Demo,Demo
Login-Region-Europe,United Kingdom, Qatar, Sweden
Login-Region-Global,Global
Login-SMS,Sign In with SMS
Login-SMS-FailRemind,The current phone number is not associated with the school. Please verify your phone number on the website first.
Login-SMS-Phone,Please enter your phone number to complete the SMS verification process. We will send you a one-time verification code to facilitate your sign-in.
Login-SMS-Resend,Resend Code
Login-SMS-Verification,Please enter the verification code you received via SMS to complete the SMS verification process.
Login-Send-SMS,Send SMS Code
Login-Toast-Error,Error
Login-Toast-NoSchool,No school information found, please check your email.
Login-Toast-Password,Password is invalid
Message-AllNulls-Remind,Message cannot be empty, please try again
Message-External-Link,External Link
Message-Internal-Link,Internal Link
Message-Send-Fail,Message failed to send.
Message-Send-Retry,Tap to Retry
Message-Write-Message,Write a message
Message-link-Open-Remind,You are now opening the external link. Click OK to continue to:
Month-Apr,Apr
Month-Aug,Aug
Month-Dec,Dec
Month-Feb,Feb
Month-Jan,Jan
Month-Jul,Jul
Month-Jun,Jun
Month-Mar,Mar
Month-May,May
Month-Nov,Nov
Month-Oct,Oct
Month-Sep,Sep
NSCalendarsFullAccessUsageDescription,Allow access to your calendar to add event reminders.
NSCalendarsUsageDescription,Allow access to your calendar to add event reminders.
NSCameraUsageDescription,Allow OpenApply to access Camera to take photos and set up the head portrait
NSPhotoLibraryUsageDescription,Allow OpenApply to access Photo Library to set up the head portrait
NetWork-Error-Alter,Unexpected server error. Please try again later.
Network-Toast-NetError,No Internet Connection.
Network-Toast-NetErrorDis,You are not connected to the internet. Make sure Wi-Fi is on, Airplane Mode is off, and try again.
Network-Toast-Retry,Retry
Nofitication-Filter-All,All
Nofitication-Filter-Applicant,Message to Applicant
Nofitication-Filter-Checklist,Checklist
Nofitication-Filter-Enrolment,Enrolment
Nofitication-Filter-Interview,Interview
Nofitication-Filter-Invoice,Invoice
Nofitication-Filter-ReEnrolment,Re-enrolment
Nofitication-Filter-Registration,New Parent Registration
Nofitication-Filter-Student,Student Status Change
Nofitication-Filter-Tour,Tour Registration
Notification-Details,Notification Details
OA-OpenOASD-Enter-New-Mark,New
OA-OpenOASD-Enter-Title,Schools Directory
OnBoarding-Applicant,Applicant Checklist
OnBoarding-Applicant-Description,Check your incomplete items on the Checklist, each student has its own items and the latest status of the submitted documentation.
OnBoarding-Back,Back
OnBoarding-Events,Upcoming Events
OnBoarding-Events-Description,Don't forget to remember any important events, the schedule list makes the events clear at a glance.
OnBoarding-Notifications,Notifications
OnBoarding-Notifications-Description,Don’t want to miss any messages, notices or updates? We have organized all the up-to-date information in Notifications.
OnBoarding-Pay,Pay Online
OnBoarding-Pay-Description,Other than checking the payment history, you can also pay the fees through various methods such as cheque, credit card, etc.
OnBoarding-Skip,Skip
OnBoarding-Title,What's New
Parent-Edit-Binary,Non-Binary
Parent-Edit-ChangePassword,Change Password
Parent-Edit-Detail,Contact Details
Parent-Edit-Female,Female
Parent-Edit-FirstName,First Name
Parent-Edit-HomePhone,Home Telephone
Parent-Edit-Info,Personal Information
Parent-Edit-LastName,Last Name
Parent-Edit-Male,Male
Parent-Edit-Mobile,Mobile Phone
Parent-Edit-Title,Profile Edit
Parent-Email-Verify,Please verify your email address!
Parent-Email-VerifyDis,An email has been sent to you with a link to confirm your email address.
Parent-NewEmail-Verify,Verify New Email Address
Parent-Profile-Address,Address
Parent-Profile-BirthDay,Date of Birth
Parent-Profile-City,City
Parent-Profile-Country,Country/Region
Parent-Profile-Email,Email
Parent-Profile-Gender,Gender
Parent-Profile-Nationality,Nationality
Parent-Profile-Phone,Contact Number
Parent-Profile-Postal,Postal Code
Parent-Profile-Role,Parent
Parent-Profile-State,State
Parent-Profile-Title,Profile
Password-Change-Title,Change Password
Password-Confirm-Title,Confirm Password
Password-Current-Title,Current Password
Password-New-Title,New Password
Password-Status-Blank,This field is required and cannot be left blank.
Password-Status-MinLength,Password does not match (minimum 6 alphanumeric characters).
Password-Status-NotMatch,Password does not match
Phone-Already-Exist,This mobile account already exists.
Phone-Change-Title,Change Mobile Phone
Phone-Confirm-Code,Confirm your Code
Phone-Country-Code,Country Code
Phone-Not-Verify,Current Mobile Phone doesn't verify.
Phone-Number,Your phone number
Phone-ReSend-Code,Resend
Phone-Send-Code,Send Code
Phone-SendCode-Error,SMS code send failed
Phone-SendCode-Success,SMS code has been sent
Phone-Verify-Message,After verifying the mobile phone, you can log in through the mobile phone number later.
Phone-Verify-Title,Verify Mobile Phone
Profile-Avatar-Updated,The photo has been successfully uploaded.
Profile-Select-Country,Select an option
Profile-Toast-MobileError,has invalid phone format
QR-Login-Cancel,Cancel Login
QR-Login-Confirm,Confirm Login
QR-Login-Confirm-Description,To ensure account security, please confirm that it's you performing this action.
QR-Login-Confirm-Title,Confirm the OpenApply account login on your browser
QR-Login-Rescan,Rescan
QR-Login-Success,Login successful
QR-Login-Title,Login
Remind-No-Checklist,No Checklist
Remind-No-Checklist-Tips,Congrats! You have completed your checklist items for now.
Remind-No-Data,No Data
Remind-No-Data-Tips,This is no data
Remind-No-Message,No Messages
Remind-No-Message-Tips,Send a message to the admissions team.
Remind-No-Notifications,No Notifications
Remind-No-Notifications-Tips,Notifications from the school will appear here.
Remind-No-Uploaded-Files,No Uploaded Files
Remind-No-Uploaded-Files-Tips,Your files will appear here.
Reset-Password-Message,Please check your email to reset your password
School-Contact-Email,Email
School-Contact-Phone,Phone
School-Contact-Role,Role
School-Detail-Campus,Campus Locations
School-Detail-Contact,Admissions Contacts
School-Details,Details
School-OverView,Overview
School-Title,School Information
Select-School,Select School
Sign-Enter-Password,Enter Password
Sign-Forgot-Password,Forgot Password
Sign-In-Description,Streamline the admissions journey
Sign-In-Next,Next
Sign-In-Title,Sign In
Sign-In-Welcome,Welcome to OpenApply
Sign-Password-Reset,Password Reset
Sign-Password-ResetDescription,Check your email address below, then click Reset Password and we will send you instructions on how to change your password.
Sign-Remember-Me,Remember Me
Sign-Reset-Password,Reset Password
SignIn-with-Google,Sign In with Google
SignIn-with-WeChat,Sign In with WeChat
Student-Add-Applicant,Add New Applicant
Student-Applicant-Progress,Applicant Progress
Student-ReApply-Title,Reapply
Student-Status-Admitted,Admitted
Student-Status-Applied,Applied
Student-Status-Declined,Declined
Student-Status-Enrolled,Enrolled
Student-Status-Graduated,Graduated
Student-Status-Items,items
Student-Status-Pending,Pending
Student-Status-Wait-listed,Wait-listed
Student-Status-Withdrawn,Withdrawn
Toast-Operation-Failed,Operation failed
Toast-Operation-Success,Operation successful
Toast-Required-Address,Address is required.
Toast-Required-Email,Email is required.
Toast-Required-FirstName,First Name is required.
Toast-Required-LastName,Last Name is required.
Toast-Required-Phone,Mobile Phone is required.
Toast-Submit-Cancel,Operation canceled
Toast-Submit-Success,Document sent
Toast-Token-invalid,You have signed in another device.
Upload-Queue-Limit,Please wait for the upload to complete.
WeChat-Alter-Confirmation-title,Confirmation
WeChat-Alter-Unlink-Dec,Want to unlink your WeChat account?
WeChat-Button-Cancel-Unlink,Cancel
WeChat-Button-OK,OK
WeChat-Link-Title,WeChat
WeChat-Linked-With,Linked with
WeChat-Unlink-Confirm-Button,Unlink
WeChat-Unlink-Done,Unlink
WeChat-Unlink-Failure,Unlink failed. Please try again.
WeChat-Unlink-Success,Your account has successfully unlinked with WeChat.
WeChat-Unlink-Title,WeChat
WeChat-authorization-failed,WeChat login authorization failed
WeChat-login-no-schools,We couldn't find the school associated with your WeChat account. Please log in using your email or phone number.
WeChat-token-failed,WeChat user token retrieval failed
WebLink-URL-Invalid,Sorry, this link is empty or invalid.
Wechat-Button-Cancel,Maybe Later
Wechat-Button-Link,Link Now
Wechat-Reminder-Description,Link your WeChat account to easily login in the future.
Wechat-Reminder-Title,Easy Login
Wed-Toast-LoadingFail,loading failed
Wed-Toast-LoadingFileCanOpen,File format not supported, open with Safari?
refresh_idle,Pull down to refresh
refresh_pulling,Release to refresh
refresh_refreshing,Loading...
refresh_willRefresh,Release to refresh
tabbar_DashBoard,Home
tabbar_Messages,Inbox
tabbar_Settings,Me
